example_id                                                       | status | run_time        |
./spec/models/recipe_step_spec.rb[1:4:2]                         | passed | 1.18 seconds    |
./spec/models/recipe_step_spec.rb[1:5:1]                         | passed | 0.86728 seconds |
./spec/models/topping_spec.rb[1:1:1:1]                           | passed | 1.04 seconds    |
./spec/models/topping_spec.rb[1:1:2:1]                           | passed | 1.03 seconds    |
./spec/models/topping_spec.rb[1:1:3:1]                           | passed | 1.05 seconds    |
./spec/models/topping_spec.rb[1:2:1]                             | passed | 1.07 seconds    |
./spec/models/topping_spec.rb[1:3:1]                             | passed | 0.84771 seconds |
./spec/models/topping_spec.rb[1:3:2]                             | passed | 0.82349 seconds |
./spec/models/topping_spec.rb[1:3:3]                             | passed | 0.82032 seconds |
./spec/models/user_action_spec.rb[1:1:1]                         | passed | 1.05 seconds    |
./spec/models/user_action_spec.rb[1:1:2]                         | passed | 1.05 seconds    |
./spec/models/user_action_spec.rb[1:1:3]                         | passed | 1.06 seconds    |
./spec/models/user_action_spec.rb[1:1:4]                         | passed | 1.11 seconds    |
./spec/models/user_action_spec.rb[1:1:5]                         | passed | 1.09 seconds    |
./spec/models/user_action_spec.rb[1:2:1]                         | passed | 0.88812 seconds |
./spec/models/user_action_spec.rb[1:2:2]                         | passed | 0.82877 seconds |
./spec/models/user_action_spec.rb[1:2:3]                         | passed | 1.11 seconds    |
./spec/models/user_action_spec.rb[1:2:4]                         | passed | 1.1 seconds     |
./spec/models/user_action_spec.rb[1:2:5]                         | passed | 1.1 seconds     |
./spec/models/user_action_spec.rb[1:3:1]                         | passed | 1.04 seconds    |
./spec/models/user_action_spec.rb[1:3:2]                         | passed | 1.07 seconds    |
./spec/models/user_action_spec.rb[1:3:3]                         | passed | 0.97572 seconds |
./spec/models/user_action_spec.rb[1:3:4]                         | passed | 1.15 seconds    |
./spec/models/user_action_spec.rb[1:4:1]                         | passed | 0.83629 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:1:1]                   | passed | 0.87752 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:1:2]                   | passed | 0.88266 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:1:3]                   | passed | 0.84154 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:1:4]                   | passed | 0.83845 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:1:5]                   | passed | 0.83346 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:2:1]                   | passed | 0.83872 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:3:1]                   | passed | 0.85755 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:3:2]                   | passed | 0.85455 seconds |
./spec/models/user_kitchen_tool_spec.rb[1:4:1]                   | passed | 0.83816 seconds |
